1.2433 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
74.9403 	EXP 	fixation: autoDraw = False
74.9403 	EXP 	grating: autoDraw = False
74.9403 	EXP 	grating: pos = array([0.2, 0. ])
74.9408 	EXP 	window1: recordFrameIntervals = False
75.9216 	EXP 	fixation: autoDraw = True
76.9233 	EXP 	fixation: autoDraw = False
76.9233 	EXP 	grating: autoDraw = True
76.9233 	EXP 	grating: tex = 'sin'
77.2235 	EXP 	grating: autoDraw = False
77.3136 	EXP 	window1: recordFrameIntervals = False
77.3170 	DATA 	Keypress: right
77.3235 	EXP 	fixation: autoDraw = False
77.3235 	EXP 	grating: autoDraw = False
77.3235 	EXP 	grating: pos = array([0.2, 0. ])
77.3241 	EXP 	window1: recordFrameIntervals = False
78.3050 	EXP 	fixation: autoDraw = True
79.3062 	EXP 	fixation: autoDraw = False
79.3062 	EXP 	grating: autoDraw = True
79.3062 	EXP 	grating: tex = 'sin'
79.5964 	EXP 	window1: recordFrameIntervals = False
79.5997 	DATA 	Keypress: right
79.6067 	EXP 	grating: autoDraw = False
79.6067 	EXP 	fixation: autoDraw = False
79.6067 	EXP 	grating: autoDraw = False
79.6067 	EXP 	grating: pos = array([0.2, 0. ])
79.6072 	EXP 	window1: recordFrameIntervals = False
80.5893 	EXP 	fixation: autoDraw = True
81.5895 	EXP 	fixation: autoDraw = False
81.5895 	EXP 	grating: autoDraw = True
81.5895 	EXP 	grating: tex = 'sin'
81.8896 	EXP 	grating: autoDraw = False
81.8958 	EXP 	window1: recordFrameIntervals = False
81.8991 	DATA 	Keypress: right
81.9062 	EXP 	fixation: autoDraw = False
81.9062 	EXP 	grating: autoDraw = False
81.9062 	EXP 	grating: pos = array([0.2, 0. ])
81.9067 	EXP 	window1: recordFrameIntervals = False
82.8898 	EXP 	fixation: autoDraw = True
83.8895 	EXP 	fixation: autoDraw = False
83.8895 	EXP 	grating: autoDraw = True
83.8895 	EXP 	grating: tex = 'sin'
84.1893 	EXP 	grating: autoDraw = False
84.2117 	EXP 	window1: recordFrameIntervals = False
84.2141 	DATA 	Keypress: right
84.2226 	EXP 	fixation: autoDraw = False
84.2226 	EXP 	grating: autoDraw = False
84.2226 	EXP 	grating: pos = array([-0.2,  0. ])
84.2231 	EXP 	window1: recordFrameIntervals = False
85.2046 	EXP 	fixation: autoDraw = True
86.2059 	EXP 	fixation: autoDraw = False
86.2059 	EXP 	grating: autoDraw = True
86.2059 	EXP 	grating: tex = 'sin'
86.5060 	EXP 	grating: autoDraw = False
86.6289 	EXP 	window1: recordFrameIntervals = False
86.6324 	DATA 	Keypress: left
86.6394 	EXP 	fixation: autoDraw = False
86.6394 	EXP 	grating: autoDraw = False
86.6394 	EXP 	grating: pos = array([0.2, 0. ])
86.6400 	EXP 	window1: recordFrameIntervals = False
87.6209 	EXP 	fixation: autoDraw = True
88.6221 	EXP 	fixation: autoDraw = False
88.6221 	EXP 	grating: autoDraw = True
88.6221 	EXP 	grating: tex = 'sin'
88.9222 	EXP 	grating: autoDraw = False
88.9616 	DATA 	Keypress: right
88.9785 	EXP 	window1: recordFrameIntervals = False
88.9891 	EXP 	fixation: autoDraw = False
88.9891 	EXP 	grating: autoDraw = False
88.9891 	EXP 	grating: pos = array([0.2, 0. ])
88.9896 	EXP 	window1: recordFrameIntervals = False
89.9712 	EXP 	fixation: autoDraw = True
90.9721 	EXP 	fixation: autoDraw = False
90.9721 	EXP 	grating: autoDraw = True
90.9721 	EXP 	grating: tex = 'sin'
91.2722 	EXP 	grating: autoDraw = False
91.2784 	EXP 	window1: recordFrameIntervals = False
91.2821 	DATA 	Keypress: right
91.2887 	EXP 	fixation: autoDraw = False
91.2887 	EXP 	grating: autoDraw = False
91.2887 	EXP 	grating: pos = array([0.2, 0. ])
91.2892 	EXP 	window1: recordFrameIntervals = False
92.2698 	EXP 	fixation: autoDraw = True
93.2718 	EXP 	fixation: autoDraw = False
93.2718 	EXP 	grating: autoDraw = True
93.2718 	EXP 	grating: tex = 'sin'
93.5720 	EXP 	grating: autoDraw = False
93.5790 	EXP 	window1: recordFrameIntervals = False
93.5825 	DATA 	Keypress: right
93.5887 	EXP 	fixation: autoDraw = False
93.5887 	EXP 	grating: autoDraw = False
93.5887 	EXP 	grating: pos = array([-0.2,  0. ])
93.5893 	EXP 	window1: recordFrameIntervals = False
94.5720 	EXP 	fixation: autoDraw = True
95.5716 	EXP 	fixation: autoDraw = False
95.5716 	EXP 	grating: autoDraw = True
95.5716 	EXP 	grating: tex = 'sin'
95.8718 	EXP 	grating: autoDraw = False
95.9949 	EXP 	window1: recordFrameIntervals = False
95.9982 	DATA 	Keypress: left
