num_distr,mouse.time,mouse.clicked_name,participant,,,,
10,4.8645574,target,4,,,,
5,1.305337,target,4,,,,
5,1.6195343,target,4,,,,
5,1.5416633,target,4,,,,
5,1.6802711,target,4,,,,
5,1.4503896,target,4,,,,
5,1.2864224,target,4,,,,
5,0.9754512,target,4,,,,
5,1.8174836,target,4,,,,
10,2.6343992,target,4,,,,
5,1.1237837,target,4,,,,
5,0.9925013,target,4,,,,
5,1.8378645,target,4,,,,
10,1.0492593,target,4,,,,
5,0.8867015,target,4,,,,
10,3.1973859,target,4,,,,
10,1.4655385,target,4,,,,
10,1.5552324,target,4,,,,
5,1.8129084,target,4,,,,
5,1.2427755,target,4,,,,
5,1.785418,target,4,,,,
10,2.0642589,target,4,,,,
5,2.5445542,target,4,,,,
10,3.9321192,target,4,,,,
5,1.8694205,target,4,,,,
5,1.6382657,target,4,,,,
5,1.3497836,target,4,,,,
5,2.2341895,target,4,,,,
5,1.7957845,target,4,,,,
10,1.2620428,target,4,,,,
10,1.5455644,target,4,,,,
5,1.1732274,target,4,,,,
10,1.2541293,target,4,,,,
5,1.474169,target,4,,,,
10,0.9566771,target,4,,,,
5,1.780564,target,4,,,,
5,1.0363763,target,4,,,,
5,1.2690151,target,4,,,,
10,1.5531788,target,4,,,,
5,3.0099433,target,4,,,,
5,1.3038195,target,4,,,,
10,2.3863172,target,4,,,,
5,1.9553669,target,4,,,,
10,3.2750523,target,4,,,,
10,2.440279,target,4,,,,
5,1.2874861,target,4,,,,
10,2.4097425,target,4,,,,
5,1.7010986,target,4,,,,
10,1.6457359,target,4,,,,
5,1.279377,target,4,,,,
10,1.6531626,target,4,,,,
5,1.3814626,target,4,,,,
10,1.2740517,target,4,,,,
5,2.0322736,target,4,,,,
10,2.327835,target,4,,,,
10,1.3109112,target,4,,,,
5,1.7665122,target,4,,,,
5,1.3039748,target,4,,,,
10,1.5088575,target,4,,,,
5,1.2523388,target,4,,,,
5,2.3801564,target,4,,,,
10,1.7205223,target,4,,,,
10,2.2436346,target,4,,,,
5,2.8637964,target,4,,,,
10,1.4815956,target,4,,,,
5,1.2926635,target,4,,,,
5,1.9236679,target,4,,,,
5,1.7427795,target,4,,,,
10,2.4118725,target,4,,,,
5,2.2086125,target,4,,,,
5,1.0518932,target,4,,,,
5,1.4381118,target,4,,,,
10,1.939499,target,4,,,,
5,2.5465231,target,4,,,,
5,1.2473247,target,4,,,,
10,1.984327,target,4,,,,
10,2.8750426,target,4,,,,
5,3.1064022,target,4,,,,
5,1.6790156,target,4,,,,
10,3.0027257,target,4,,,,
5,1.3308058,target,4,,,,
10,1.4692445,target,4,,,,
10,2.4866268,target,4,,,,
10,1.8917433,target,4,,,,
5,1.9066817,target,4,,,,
5,1.5092724,target,4,,,,
10,2.0070214,target,4,,,,
10,1.3996944,target,4,,,,
5,1.322525,target,4,,,,
10,1.4226175,target,4,,,,
5,1.4170185,target,4,,,,
5,1.5786619,target,4,,,,
5,1.4550593,target,4,,,,
5,1.7929488,target,4,,,,
10,2.2429881,target,4,,,,
5,1.471989,target,4,,,,
10,1.9825444,target,4,,,,
5,1.2323766,target,4,,,,
10,2.1786517,target,4,,,,
5,2.0910666,target,4,,,,
10,1.4955728,target,4,,,,
5,1.4174303,target,4,,,,
5,1.3426652,target,4,,,,
10,3.6218176,target,4,,,,
5,1.1714647,target,4,,,,
10,1.6392501,target,4,,,,
10,1.1890009,target,4,,,,
10,2.0451287,target,4,,,,
10,1.9446087,target,4,,,,
10,1.6958007,target,4,,,,
5,1.6561466,target,4,,,,
10,1.8483643,target,4,,,,
5,1.8558585,target,4,,,,
5,1.3440808,target,4,,,,
5,1.3503489,target,4,,,,
5,1.0153765,target,4,,,,
10,1.7021537,target,4,,,,
10,1.6799213,target,4,,,,
5,1.8947771,target,4,,,,
5,1.4205514,target,4,,,,
5,2.316386,target,4,,,,
10,1.3160521,target,4,,,,
5,1.3102324,target,4,,,,
5,1.5251708,target,4,,,,
10,1.4209353,target,4,,,,
5,1.3284403,target,4,,,,
5,1.7301822,target,4,,,,
5,1.3759346,target,4,,,,
10,2.5602877,target,4,,,,
10,1.2407352,target,4,,,,
5,0.8891172,target,4,,,,
10,1.849891,target,4,,,,
5,1.2036146,target,4,,,,
10,1.6162207,target,4,,,,
5,1.4905628,target,4,,,,
5,1.5715537,target,4,,,,
10,1.6643123,target,4,,,,
10,1.3691829,target,4,,,,
10,1.8317321,target,4,,,,
5,1.3769585,target,4,,,,
5,1.0934939,target,4,,,,
10,1.2243827,target,4,,,,
10,1.5602928,target,4,,,,
5,1.7778985,target,4,,,,
10,2.291109,target,4,,,,
5,2.0486967,target,4,,,,
5,1.361034,target,4,,,,
5,1.4809837,target,4,,,,
10,2.7482659,target,4,,,,
5,1.9149187,target,4,,,,
5,2.1305971,target,4,,,,
5,2.5504086,target,4,,,,
5,2.043675,target,4,,,,
10,2.2553569,target,4,,,,
10,1.4856152,target,4,,,,
5,2.1666907,target,4,,,,
10,2.2011414,target,4,,,,
5,2.3999925,target,4,,,,
5,1.5704595,target,4,,,,
5,2.1898115,target,4,,,,
10,3.3228394,target,4,,,,
10,2.5420061,target,4,,,,
5,1.8937935,target,4,,,,
10,2.497469,target,4,,,,
10,1.6750075,target,4,,,,
10,2.5747426,target,5,,,,
5,1.6001252,target,5,,,,
10,1.2083655,target,5,,,,
5,1.1283809,target,5,,,,
10,2.1807892,target,5,,,,
5,1.3354748,target,5,,,,
10,2.2060879,target,5,,,,
10,1.3680838,target,5,,,,
5,2.284869,target,5,,,,
10,1.5828782,target,5,,,,
5,1.7928576,target,5,,,,
10,1.3286676,target,5,,,,
10,1.115059,target,5,,,,
5,1.3666218,target,5,,,,
10,1.4011148,target,5,,,,
5,2.2554919,target,5,,,,
5,2.0315738,target,5,,,,
5,1.2744691,target,5,,,,
5,1.4760802,target,5,,,,
10,1.8909364,target,5,,,,
5,1.9977429,target,5,,,,
5,1.7683491,target,5,,,,
10,1.4519857,target,5,,,,
10,1.5110087,target,5,,,,
5,1.8335634,target,5,,,,
5,2.2362262,target,5,,,,
5,1.796658,target,5,,,,
10,1.924719,target,5,,,,
10,1.6519961,target,5,,,,
10,1.110376,target,5,,,,
10,1.6672767,target,5,,,,
5,1.5953994,target,5,,,,
5,1.0950746,target,5,,,,
5,1.3338893,target,5,,,,
10,1.4062466,target,5,,,,
10,2.0265334,target,5,,,,
5,1.7677791,target,5,,,,
5,1.0906736,target,5,,,,
10,3.3615242,target,5,,,,
5,1.1596911,target,5,,,,
10,1.4726239,target,5,,,,
5,2.3616104,target,5,,,,
5,1.5481435,target,5,,,,
5,1.4876292,target,5,,,,
10,2.3182657,target,5,,,,
5,1.6632741,target,5,,,,
10,2.6817835,target,5,,,,
10,2.3523511,target,5,,,,
10,1.4813199,target,5,,,,
10,2.6432614,target,5,,,,
10,1.4723548,target,5,,,,
5,1.1905502,target,5,,,,
10,1.7379239,target,5,,,,
5,1.654071,target,5,,,,
10,2.2403649,target,5,,,,
10,1.5446223,target,5,,,,
10,2.3099378,target,5,,,,
5,3.009131,target,5,,,,
5,1.0368558,target,5,,,,
10,1.6288847,target,5,,,,
10,0.8838636,target,5,,,,
10,1.0810726,target,5,,,,
10,1.5679341,target,5,,,,
5,1.2081939,target,5,,,,
10,1.2099739,target,5,,,,
10,2.1038987,target,5,,,,
5,2.8144243,target,5,,,,
5,2.8009493,target,5,,,,
10,2.1889536,target,5,,,,
10,1.0603067,target,5,,,,
5,1.8573659,target,5,,,,
5,1.204678,target,5,,,,
5,1.6642785,target,5,,,,
