85.4496 	EXP 	fixation: autoDraw = False
85.4496 	EXP 	grating: autoDraw = False
85.4496 	EXP 	grating: ori = -3.0
85.4496 	EXP 	fixation: autoDraw = True
86.4371 	EXP 	grating: autoDraw = True
86.4537 	EXP 	fixation: autoDraw = False
86.7368 	EXP 	grating: autoDraw = False
87.0742 	EXP 	New trial (rep=34, index=0): None
87.0819 	DATA 	Keypress: down
87.0841 	EXP 	fixation: autoDraw = False
87.0841 	EXP 	grating: autoDraw = False
87.0841 	EXP 	grating: ori = -3.0
87.0841 	EXP 	fixation: autoDraw = True
88.0702 	EXP 	grating: autoDraw = True
88.0868 	EXP 	fixation: autoDraw = False
88.3701 	EXP 	grating: autoDraw = False
88.7247 	EXP 	New trial (rep=35, index=0): None
88.7324 	DATA 	Keypress: down
88.7349 	EXP 	fixation: autoDraw = False
88.7349 	EXP 	grating: autoDraw = False
88.7349 	EXP 	grating: ori = 0.0
88.7349 	EXP 	fixation: autoDraw = True
89.7201 	EXP 	grating: autoDraw = True
89.7370 	EXP 	fixation: autoDraw = False
90.0198 	EXP 	grating: autoDraw = False
90.3133 	EXP 	New trial (rep=36, index=0): None
90.3233 	DATA 	Keypress: up
90.3259 	EXP 	fixation: autoDraw = False
90.3259 	EXP 	grating: autoDraw = False
90.3259 	EXP 	grating: ori = 4.0
90.3259 	EXP 	fixation: autoDraw = True
91.3200 	EXP 	grating: autoDraw = True
91.3367 	EXP 	fixation: autoDraw = False
91.6198 	EXP 	grating: autoDraw = False
91.9912 	EXP 	New trial (rep=37, index=0): None
91.9990 	DATA 	Keypress: down
92.0015 	EXP 	fixation: autoDraw = False
92.0015 	EXP 	grating: autoDraw = False
92.0015 	EXP 	grating: ori = 0.0
92.0015 	EXP 	fixation: autoDraw = True
92.9863 	EXP 	grating: autoDraw = True
93.0030 	EXP 	fixation: autoDraw = False
93.2862 	EXP 	grating: autoDraw = False
93.6557 	EXP 	New trial (rep=38, index=0): None
93.6629 	DATA 	Keypress: up
93.6651 	EXP 	fixation: autoDraw = False
93.6651 	EXP 	grating: autoDraw = False
93.6651 	EXP 	grating: ori = 0.0
93.6651 	EXP 	fixation: autoDraw = True
94.6529 	EXP 	grating: autoDraw = True
94.6695 	EXP 	fixation: autoDraw = False
94.9527 	EXP 	grating: autoDraw = False
95.1756 	DATA 	Keypress: up
95.2055 	EXP 	New trial (rep=39, index=0): None
95.2140 	EXP 	fixation: autoDraw = False
95.2140 	EXP 	grating: autoDraw = False
95.2140 	EXP 	grating: ori = 0.0
95.2140 	EXP 	fixation: autoDraw = True
96.2030 	EXP 	grating: autoDraw = True
96.2195 	EXP 	fixation: autoDraw = False
96.5027 	EXP 	grating: autoDraw = False
96.9751 	DATA 	Keypress: up
97.0046 	EXP 	New trial (rep=40, index=0): None
97.0133 	EXP 	fixation: autoDraw = False
97.0133 	EXP 	grating: autoDraw = False
97.0133 	EXP 	grating: ori = 2.0
97.0133 	EXP 	fixation: autoDraw = True
98.0029 	EXP 	grating: autoDraw = True
98.0192 	EXP 	fixation: autoDraw = False
98.3026 	EXP 	grating: autoDraw = False
98.5917 	DATA 	Keypress: down
98.6224 	EXP 	New trial (rep=41, index=0): None
98.6319 	EXP 	fixation: autoDraw = False
98.6319 	EXP 	grating: autoDraw = False
98.6319 	EXP 	grating: ori = 0.0
98.6319 	EXP 	fixation: autoDraw = True
99.6191 	EXP 	grating: autoDraw = True
99.6357 	EXP 	fixation: autoDraw = False
99.9190 	EXP 	grating: autoDraw = False
100.2229 	EXP 	New trial (rep=42, index=0): None
100.2297 	DATA 	Keypress: up
100.2320 	EXP 	fixation: autoDraw = False
100.2320 	EXP 	grating: autoDraw = False
100.2320 	EXP 	grating: ori = 0.0
100.2320 	EXP 	fixation: autoDraw = True
101.2189 	EXP 	grating: autoDraw = True
101.2358 	EXP 	fixation: autoDraw = False
101.5189 	EXP 	grating: autoDraw = False
101.7217 	EXP 	New trial (rep=43, index=0): None
101.7286 	DATA 	Keypress: up
101.7309 	EXP 	fixation: autoDraw = False
101.7309 	EXP 	grating: autoDraw = False
101.7309 	EXP 	grating: ori = -3.0
101.7309 	EXP 	fixation: autoDraw = True
102.7189 	EXP 	grating: autoDraw = True
102.7353 	EXP 	fixation: autoDraw = False
103.0188 	EXP 	grating: autoDraw = False
103.3723 	EXP 	New trial (rep=44, index=0): None
103.3807 	DATA 	Keypress: down
103.3829 	EXP 	fixation: autoDraw = False
103.3829 	EXP 	grating: autoDraw = False
103.3829 	EXP 	grating: ori = 0.0
103.3829 	EXP 	fixation: autoDraw = True
104.3687 	EXP 	grating: autoDraw = True
104.3855 	EXP 	fixation: autoDraw = False
104.6686 	EXP 	grating: autoDraw = False
104.9912 	EXP 	New trial (rep=45, index=0): None
104.9983 	DATA 	Keypress: up
